ID	CONCEPT	GRAPHEMES	DOCULECT	IPA	TOKENS
419	cheap	shizüba	Ao-Chungli	ʃizəba	ʃ i z ə b a
420	basket(back,womanΓÇÖs)	zi	Ao-Chungli	zi	z i
421	to steal	aoya	Ao-Chungli	aoja	a o j a
422	day	nü	Ao-Chungli	nə	n ə
423	day	anogo	Ao-Chungli	anogo	a n o g o
424	a wound	teiro	Ao-Chungli	teiro	t e i r o
425	night	aonung	Ao-Chungli	aonuŋ	a o n u ŋ
426	night	amang	Ao-Chungli	amaŋ	a m a ŋ
427	cave	leprüngki	Ao-Chungli	leprəŋki	l e p r ə ŋ k i
428	to praise	nüngsang	Ao-Chungli	nəŋsaŋ	n ə ŋ s a ŋ
429	sparrow	alushizük	Ao-Chungli	aluʃizək	a l u ʃ i z ə k
430	when?	kodang	Ao-Chungli	kodaŋ	k o d a ŋ
431	jungle	arem	Ao-Chungli	arem	a r e m
432	jungle	mein	Ao-Chungli	mein	m e i n
433	south	anudoklen-tip	Ao-Chungli	anudoklen+tip	a n u d o k l e n + t i p
434	sun	anü	Ao-Chungli	anə	a n ə
435	snail	küpra	Ao-Chungli	kəpra	k ə p r a
436	to fight	rara	Ao-Chungli	rara	r a r a
437	leg	tetsung	Ao-Chungli	tetsuŋ	t e t s u ŋ
438	copper	yongmenin	Ao-Chungli	joŋmenin	j o ŋ m e n i n
439	scissors	temejeptsü	Ao-Chungli	temeɟ͡ʝeptsə	t e m e ɟ͡ʝ e p t s ə
440	between	tsungdanung	Ao-Chungli	tsuŋdanuŋ	t s u ŋ d a n u ŋ
441	bow(for shooting)	lijak	Ao-Chungli	liɟ͡ʝak	l i ɟ͡ʝ a k
442	dog	azü	Ao-Chungli	azə	a z ə
443	sword(weaving)		Ao-Chungli		
444	rice(cooked)	chi	Ao-Chungli	c͡çʰi	c͡çʰ i
445	snow	rürjep	Ao-Chungli	rərɟ͡ʝep	r ə r ɟ͡ʝ e p
446	to throw	aon	Ao-Chungli	aon	a o n
447	dawn	sangwabang	Ao-Chungli	saŋwabaŋ	s a ŋ w a b a ŋ
448	land	ali	Ao-Chungli	ali	a l i
449	land	lima	Ao-Chungli	lima	l i m a
450	from	nunge	Ao-Chungli	nuŋe	n u ŋ e
451	face	tejak	Ao-Chungli	teɟ͡ʝak	t e ɟ͡ʝ a k
452	wonderful	saya-teyar	Ao-Chungli	saja+tejar	s a j a + t e j a r
453	bug		Ao-Chungli		
454	prison	tepuokdak-ki	Ao-Chungli	tepuokdak+ki	t e p u o k d a k + k i
455	to bring	aben	Ao-Chungli	aben	a b e n
456	to bring	anir-aru	Ao-Chungli	anir+aru	a n i r + a r u
457	to return(come back)	shilangtsü	Ao-Chungli	ʃilaŋtsə	ʃ i l a ŋ t s ə
458	pigeon	posü	Ao-Chungli	posə	p o s ə
459	maize	mendi	Ao-Chungli	mendi	m e n d i
460	great	tulu	Ao-Chungli	tulu	t u l u
461	great	tamaren	Ao-Chungli	tamaren	t a m a r e n
462	cow	nashi-tzüla	Ao-Chungli	naʃi+ɟ͡ʝəla	n a ʃ i + ɟ͡ʝ ə l a
463	cloth	sü	Ao-Chungli	sə	s ə
464	round(adj)	lunglunger	Ao-Chungli	luŋluŋer	l u ŋ l u ŋ e r
465	a dream	mangpu	Ao-Chungli	maŋpu	m a ŋ p u
466	house	ki	Ao-Chungli	ki	k i
467	where?	kechinung	Ao-Chungli	kec͡çʰinuŋ	k e c͡çʰ i n u ŋ
468	a question	asongdang	Ao-Chungli	asoŋdaŋ	a s o ŋ d a ŋ
469	oath	azüngashiba	Ao-Chungli	azəŋaʃiba	a z ə ŋ a ʃ i b a
470	old(of persons)	tasa	Ao-Chungli	tasa	t a s a
471	scorpion	jepja	Ao-Chungli	ɟ͡ʝepɟ͡ʝa	ɟ͡ʝ e p ɟ͡ʝ a
472	body	temang	Ao-Chungli	temaŋ	t e m a ŋ
473	skirt	teperam-sü	Ao-Chungli	teperam+sə	t e p e r a m + s ə
474	gourd	meso	Ao-Chungli	meso	m e s o
475	alone	kija	Ao-Chungli	kiɟ͡ʝa	k i ɟ͡ʝ a
476	alone	kisong	Ao-Chungli	kisoŋ	k i s o ŋ
477	to mend	tapok-atang	Ao-Chungli	tapok+ataŋ	t a p o k + a t a ŋ
478	to lose	madok	Ao-Chungli	madok	m a d o k
479	drum	asüm	Ao-Chungli	asəm	a s ə m
480	drum	songkung	Ao-Chungli	soŋkuŋ	s o ŋ k u ŋ
481	rich	takar	Ao-Chungli	takar	t a k a r
482	to lie down	mejanga-ao	Ao-Chungli	meɟ͡ʝaŋa+ao	m e ɟ͡ʝ a ŋ a + a o
483	to count	ajüng	Ao-Chungli	aɟ͡ʝəŋ	a ɟ͡ʝ ə ŋ
484	a saw	songrüngtsü	Ao-Chungli	soŋrəŋtsə	s o ŋ r ə ŋ t s ə
485	ant(red)	metemi	Ao-Chungli	metemi	m e t e m i
486	enemy	tsükchir	Ao-Chungli	tsəkc͡çʰir	t s ə k c͡çʰ i r
487	to suck	mesep	Ao-Chungli	mesep	m e s e p
488	bark(of tree)	tekap	Ao-Chungli	tekap	t e k a p
489	to call	aja	Ao-Chungli	aɟ͡ʝa	a ɟ͡ʝ a
490	quiet	songzük	Ao-Chungli	soŋzək	s o ŋ z ə k
491	letter	shiti	Ao-Chungli	ʃiti	ʃ i t i
492	to lead	anitet	Ao-Chungli	anitet	a n i t e t
493	sharp	techira	Ao-Chungli	tec͡çʰira	t e c͡çʰ i r a
494	to hate	tesempar	Ao-Chungli	tesempar	t e s e m p a r
495	tongue	temeli	Ao-Chungli	temeli	t e m e l i
496	to lie(to deceive)	tiazü	Ao-Chungli	tiazə	t i a z ə
497	pearl	berem	Ao-Chungli	berem	b e r e m
498	ninety	tukur	Ao-Chungli	tukur	t u k u r
499	onion	piyazü	Ao-Chungli	pijazə	p i j a z ə
500	cock	aen-tebong	Ao-Chungli	aen+teboŋ	a e n + t e b o ŋ
501	owl	pokpo	Ao-Chungli	pokpo	p o k p o
502	six	trok	Ao-Chungli	trok	t r o k
503	rice(paddy)	tsük	Ao-Chungli	tsək	t s ə k
504	loom	takradong	Ao-Chungli	takradoŋ	t a k r a d o ŋ
505	rope	lisü	Ao-Chungli	lisə	l i s ə
506	to pass by	sei	Ao-Chungli	sei	s e i
507	sad	temulung-azü	Ao-Chungli	temuluŋ+azə	t e m u l u ŋ + a z ə
508	tail	teben	Ao-Chungli	teben	t e b e n
509	tail	temi	Ao-Chungli	temi	t e m i
510	old man	tambur	Ao-Chungli	tambur	t a m b u r
511	tribe	nübu	Ao-Chungli	nəbu	n ə b u
512	to wash(generic)	shidok	Ao-Chungli	ʃidok	ʃ i d o k
513	salt	metzü	Ao-Chungli	meɟ͡ʝə	m e ɟ͡ʝ ə
514	to cry(to weep)	ajep	Ao-Chungli	aɟ͡ʝep	a ɟ͡ʝ e p
515	poor	sensaker	Ao-Chungli	sensaker	s e n s a k e r
516	witness	kuli	Ao-Chungli	kuli	k u l i
517	shadow	tanela	Ao-Chungli	tanela	t a n e l a
518	shadow	aküm	Ao-Chungli	akəm	a k ə m
519	rhinoceros	kentok	Ao-Chungli	kentok	k e n t o k
520	grandfather	obu	Ao-Chungli	obu	o b u
521	sulphur(brimstones)	mitsüktsü-lung	Ao-Chungli	mitsəktsə+luŋ	m i t s ə k t s ə + l u ŋ
522	noon	anjong-meshi	Ao-Chungli	anɟ͡ʝoŋ+meʃi	a n ɟ͡ʝ o ŋ + m e ʃ i
523	hat,helmet	korang	Ao-Chungli	koraŋ	k o r a ŋ
524	twenty	metsü	Ao-Chungli	metsə	m e t s ə
525	arm	teben	Ao-Chungli	teben	t e b e n
526	to	-dang	Ao-Chungli	+daŋ	+ d a ŋ
527	to	-na	Ao-Chungli	+na	+ n a
528	to	-nung	Ao-Chungli	+nuŋ	+ n u ŋ
529	to put	ayu	Ao-Chungli	aju	a j u
530	short	tatzü	Ao-Chungli	taɟ͡ʝə	t a ɟ͡ʝ ə
531	sickle	linok	Ao-Chungli	linok	l i n o k
532	together	den	Ao-Chungli	den	d e n
533	together	ten	Ao-Chungli	ten	t e n
534	together	kelem	Ao-Chungli	kelem	k e l e m
535	broom	kioktsü	Ao-Chungli	kioktsə	k i o k t s ə
536	shallow	tembu	Ao-Chungli	tembu	t e m b u
537	mad	yiarer	Ao-Chungli	jiarer	j i a r e r
538	how	koda	Ao-Chungli	koda	k o d a
539	flower	naro	Ao-Chungli	naro	n a r o
540	flower	teben	Ao-Chungli	teben	t e b e n
541	to flow	aeim	Ao-Chungli	aeim	a e i m
542	far	telangka	Ao-Chungli	telaŋka	t e l a ŋ k a
543	pillow	pakti	Ao-Chungli	pakti	p a k t i
544	to raise	meso	Ao-Chungli	meso	m e s o
545	to knock	maten	Ao-Chungli	maten	m a t e n
546	to knock	tsungten	Ao-Chungli	tsuŋten	t s u ŋ t e n
547	grasshopper	zangkok	Ao-Chungli	zaŋkok	z a ŋ k o k
548	thigh	tesamik	Ao-Chungli	tesamik	t e s a m i k
549	thigh	tepi	Ao-Chungli	tepi	t e p i
550	sixty	roker	Ao-Chungli	roker	r o k e r
551	comb	ku-mesü	Ao-Chungli	ku+mesə	k u + m e s ə
552	leech	bangji	Ao-Chungli	baŋɟ͡ʝi	b a ŋ ɟ͡ʝ i
553	tonight	tauonung	Ao-Chungli	tauonuŋ	t a u o n u ŋ
554	late	menu	Ao-Chungli	menu	m e n u
555	sacrifice	tenlaba	Ao-Chungli	tenlaba	t e n l a b a
556	above	tama	Ao-Chungli	tama	t a m a
557	above	teka	Ao-Chungli	teka	t e k a
558	navel	tepela	Ao-Chungli	tepela	t e p e l a
559	to squirrel	sosang	Ao-Chungli	sosaŋ	s o s a ŋ
560	pen	kolem	Ao-Chungli	kolem	k o l e m
561	bullet	injang-tulu	Ao-Chungli	inɟ͡ʝaŋ+tulu	i n ɟ͡ʝ a ŋ + t u l u
562	star	petinü	Ao-Chungli	petinə	p e t i n ə
563	wet	taei	Ao-Chungli	taei	t a e i
564	difficult	tasak	Ao-Chungli	tasak	t a s a k
565	town	yimti	Ao-Chungli	jimti	j i m t i
566	to wash(clothes)	sü-ashi	Ao-Chungli	sə+aʃi	s ə + a ʃ i
567	to tremble	aten	Ao-Chungli	aten	a t e n
568	tax	temelen	Ao-Chungli	temelen	t e m e l e n
569	news	osang	Ao-Chungli	osaŋ	o s a ŋ
570	thick	temelem	Ao-Chungli	temelem	t e m e l e m
571	young man	asangur	Ao-Chungli	asaŋur	a s a ŋ u r
572	five	pungu	Ao-Chungli	puŋu	p u ŋ u
573	kitchen	sorojioktat	Ao-Chungli	soroɟ͡ʝioktat	s o r o ɟ͡ʝ i o k t a t
574	to bite	angu	Ao-Chungli	aŋu	a ŋ u
575	to bite	metep	Ao-Chungli	metep	m e t e p
576	child	chir	Ao-Chungli	c͡çʰir	c͡çʰ i r
577	child	tanur	Ao-Chungli	tanur	t a n u r
578	fifty	tenem	Ao-Chungli	tenem	t e n e m
579	lizard	sangken	Ao-Chungli	saŋken	s a ŋ k e n
580	lizard	kitsungsü	Ao-Chungli	kitsuŋsə	k i t s u ŋ s ə
581	to swallow	meyak	Ao-Chungli	mejak	m e j a k
582	fern	asangjak	Ao-Chungli	asaŋɟ͡ʝak	a s a ŋ ɟ͡ʝ a k
583	lame	tetsung-tatsük	Ao-Chungli	tetsuŋ+tatsək	t e t s u ŋ + t a t s ə k
584	sour	tasen	Ao-Chungli	tasen	t a s e n
585	blunt	sütem	Ao-Chungli	sətem	s ə t e m
586	beautiful	merakata	Ao-Chungli	merakata	m e r a k a t a
587	hill	tenem	Ao-Chungli	tenem	t e n e m
588	wrong	taei	Ao-Chungli	taei	t a e i
589	who?	shiba	Ao-Chungli	ʃiba	ʃ i b a
590	who?	shir	Ao-Chungli	ʃir	ʃ i r
591	river	tzü	Ao-Chungli	ɟ͡ʝə	ɟ͡ʝ ə
592	new	tasen	Ao-Chungli	tasen	t a s e n
593	hip	tesami	Ao-Chungli	tesami	t e s a m i
594	yeast	piyazü	Ao-Chungli	pijazə	p i j a z ə
595	to curse	atakatüm	Ao-Chungli	atakatəm	a t a k a t ə m
596	deep	azü	Ao-Chungli	azə	a z ə
597	deep	tarok	Ao-Chungli	tarok	t a r o k
598	sword	noklangnok	Ao-Chungli	noklaŋnok	n o k l a ŋ n o k
599	liver	temesen	Ao-Chungli	temesen	t e m e s e n
600	the wind	mopung	Ao-Chungli	mopuŋ	m o p u ŋ
601	early	yakte	Ao-Chungli	jakte	j a k t e
602	to enter	aei	Ao-Chungli	aei	a e i
603	middle	tiong	Ao-Chungli	tioŋ	t i o ŋ
604	middle	tetsungda	Ao-Chungli	tetsuŋda	t e t s u ŋ d a
605	up	ket	Ao-Chungli	ket	k e t
606	not	ma	Ao-Chungli	ma	m a
607	not	masü	Ao-Chungli	masə	m a s ə
608	dew	ajungtzü	Ao-Chungli	aɟ͡ʝuŋɟ͡ʝə	a ɟ͡ʝ u ŋ ɟ͡ʝ ə
609	money	sen	Ao-Chungli	sen	s e n
610	money	tatsük	Ao-Chungli	tatsək	t a t s ə k
611	price	jenjang	Ao-Chungli	ɟ͡ʝenɟ͡ʝaŋ	ɟ͡ʝ e n ɟ͡ʝ a ŋ
612	an orange	jemben	Ao-Chungli	ɟ͡ʝemben	ɟ͡ʝ e m b e n
613	forty	lir	Ao-Chungli	lir	l i r
614	to split	aso	Ao-Chungli	aso	a s o
615	to split	pakma	Ao-Chungli	pakma	p a k m a
616	bank(edge)		Ao-Chungli		
617	two	ana	Ao-Chungli	ana	a n a
618	thou	na	Ao-Chungli	na	n a
619	skin	siküp	Ao-Chungli	sikəp	s i k ə p
620	arrow	lijakjang	Ao-Chungli	liɟ͡ʝakɟ͡ʝaŋ	l i ɟ͡ʝ a k ɟ͡ʝ a ŋ
621	to hit	aka	Ao-Chungli	aka	a k a
622	to hit	atsük	Ao-Chungli	atsək	a t s ə k
623	armlet	pembang	Ao-Chungli	pembaŋ	p e m b a ŋ
624	ankle	tenüklang	Ao-Chungli	tenəklaŋ	t e n ə k l a ŋ
625	village	im	Ao-Chungli	im	i m
626	tomorrow	asong	Ao-Chungli	asoŋ	a s o ŋ
627	spirit	tanela	Ao-Chungli	tanela	t a n e l a
628	this(adj.)	ibaji	Ao-Chungli	ibaɟ͡ʝi	i b a ɟ͡ʝ i
629	room	taktang	Ao-Chungli	taktaŋ	t a k t a ŋ
630	dear(expensive)	shisak	Ao-Chungli	ʃisak	ʃ i s a k
631	to breathe	sashi	Ao-Chungli	saʃi	s a ʃ i
632	lightning	tsungpret	Ao-Chungli	tsuŋpret	t s u ŋ p r e t
633	to vomit	saktsü	Ao-Chungli	saktsə	s a k t s ə
634	to vomit	meitet	Ao-Chungli	meitet	m e i t e t
635	ladder	apu	Ao-Chungli	apu	a p u
636	tower	lungki	Ao-Chungli	luŋki	l u ŋ k i
637	bladder	poktzütem	Ao-Chungli	pokɟ͡ʝətem	p o k ɟ͡ʝ ə t e m
638	dao	nok	Ao-Chungli	nok	n o k
639	to touch	kongshi	Ao-Chungli	koŋʃi	k o ŋ ʃ i
640	to touch	sodak	Ao-Chungli	sodak	s o d a k
641	hair(of head)	ku	Ao-Chungli	ku	k u
642	wood(timber)	süng	Ao-Chungli	səŋ	s ə ŋ
643	leopard	chungnü	Ao-Chungli	c͡çʰuŋnə	c͡çʰ u ŋ n ə
644	leopard	keyi	Ao-Chungli	keji	k e j i
645	to cover	küpbang	Ao-Chungli	kəpbaŋ	k ə p b a ŋ
646	one	ka	Ao-Chungli	ka	k a
647	to hop	jokjür	Ao-Chungli	ɟ͡ʝokɟ͡ʝər	ɟ͡ʝ o k ɟ͡ʝ ə r
648	to carry(on back)	kuaben	Ao-Chungli	kuaben	k u a b e n
649	low	nemzük	Ao-Chungli	nemzək	n e m z ə k
650	to cut(generic)	aten	Ao-Chungli	aten	a t e n
651	to remain	ali	Ao-Chungli	ali	a l i
652	to remain	amung	Ao-Chungli	amuŋ	a m u ŋ
653	to swim	awa	Ao-Chungli	awa	a w a
654	ten	ter	Ao-Chungli	ter	t e r
655	hundred	noklang	Ao-Chungli	noklaŋ	n o k l a ŋ
656	cruel	tesashi	Ao-Chungli	tesaʃi	t e s a ʃ i
657	forehead	tenütsü	Ao-Chungli	tenətsə	t e n ə t s ə
658	waist	teperem	Ao-Chungli	teperem	t e p e r e m
659	to dance	yare	Ao-Chungli	jare	j a r e
660	to dance	meloshi	Ao-Chungli	meloʃi	m e l o ʃ i
661	to give	agütsü	Ao-Chungli	agətsə	a g ə t s ə
662	to sow	prok	Ao-Chungli	prok	p r o k
663	to sow	aten	Ao-Chungli	aten	a t e n
664	to grow	mei	Ao-Chungli	mei	m e i
665	to grow	in	Ao-Chungli	in	i n
666	to hide	nembang	Ao-Chungli	nembaŋ	n e m b a ŋ
667	to hide	meimshi	Ao-Chungli	meimʃi	m e i m ʃ i
668	to kiss	tebang-mesap	Ao-Chungli	tebaŋ+mesap	t e b a ŋ + m e s a p
669	to pay	aso	Ao-Chungli	aso	a s o
670	to sing	ken-aten	Ao-Chungli	ken+aten	k e n + a t e n
671	field	alu	Ao-Chungli	alu	a l u
672	dung	sü	Ao-Chungli	sə	s ə
673	nine	tuku	Ao-Chungli	tuku	t u k u
674	wolf	tsünü	Ao-Chungli	tsənə	t s ə n ə
675	elbow	teketsüla	Ao-Chungli	teketsəla	t e k e t s ə l a
676	charcoal	mijang	Ao-Chungli	miɟ͡ʝaŋ	m i ɟ͡ʝ a ŋ
677	pain	kangshi	Ao-Chungli	kaŋʃi	k a ŋ ʃ i
678	pain	timtem	Ao-Chungli	timtem	t i m t e m
679	heel	shiüalang	Ao-Chungli	ʃiəalaŋ	ʃ i ə a l a ŋ
680	horse	kor	Ao-Chungli	kor	k o r
681	calf(of leg)	temola	Ao-Chungli	temola	t e m o l a
682	law	ojang	Ao-Chungli	oɟ͡ʝaŋ	o ɟ͡ʝ a ŋ
683	law	obang	Ao-Chungli	obaŋ	o b a ŋ
684	Right-hand	to:jichilen	Ao-Chungli	toːɟ͡ʝic͡çʰilen	t oː ɟ͡ʝ i c͡çʰ i l e n
685	sheep	san	Ao-Chungli	san	s a n
686	God	tsungrem	Ao-Chungli	tsuŋrem	t s u ŋ r e m
687	to come	aru	Ao-Chungli	aru	a r u
688	to prepare	renem	Ao-Chungli	renem	r e n e m
689	chicken	aen-techanu	Ao-Chungli	aen+tec͡çʰanu	a e n + t e c͡çʰ a n u
690	until	tashi	Ao-Chungli	taʃi	t a ʃ i
691	until	donga	Ao-Chungli	doŋa	d o ŋ a
692	betel(leaf)		Ao-Chungli		
693	salary	ta	Ao-Chungli	ta	t a
694	centipede	asangper	Ao-Chungli	asaŋper	a s a ŋ p e r
695	beam	kiküp	Ao-Chungli	kikəp	k i k ə p
696	to burn	arong	Ao-Chungli	aroŋ	a r o ŋ
697	to burn	alet	Ao-Chungli	alet	a l e t
698	to whisper	jemjemshishi	Ao-Chungli	ɟ͡ʝemɟ͡ʝemʃiʃi	ɟ͡ʝ e m ɟ͡ʝ e m ʃ i ʃ i
699	feather	enyo	Ao-Chungli	enjo	e n j o
700	feather	te	Ao-Chungli	te	t e
701	slow	tetsunglung	Ao-Chungli	tetsuŋluŋ	t e t s u ŋ l u ŋ
702	monkey(huluk)		Ao-Chungli		
703	bad	tamajung	Ao-Chungli	tamaɟ͡ʝuŋ	t a m a ɟ͡ʝ u ŋ
704	fat(adj.)	teira	Ao-Chungli	teira	t e i r a
705	woman	tetzür	Ao-Chungli	teɟ͡ʝər	t e ɟ͡ʝ ə r
706	woman	lar	Ao-Chungli	lar	l a r
707	light(bright)	tesangwa	Ao-Chungli	tesaŋwa	t e s a ŋ w a
708	to catch	apu	Ao-Chungli	apu	a p u
709	to catch	ishi	Ao-Chungli	iʃi	i ʃ i
710	cotton	kümba	Ao-Chungli	kəmba	k ə m b a
711	to scratch	anak	Ao-Chungli	anak	a n a k
712	hand	teka	Ao-Chungli	teka	t e k a
713	thirsty	tzürar	Ao-Chungli	ɟ͡ʝərar	ɟ͡ʝ ə r a r
714	seventeen	teritenet	Ao-Chungli	teritenet	t e r i t e n e t
715	self	peisa	Ao-Chungli	peisa	p e i s a
716	self	sa	Ao-Chungli	sa	s a
717	to see	angu	Ao-Chungli	aŋu	a ŋ u
718	to see	reprang	Ao-Chungli	repraŋ	r e p r a ŋ
719	to die	asü	Ao-Chungli	asə	a s ə
720	eagle	reptiksü	Ao-Chungli	reptiksə	r e p t i k s ə
721	bitter	taku	Ao-Chungli	taku	t a k u
722	only	sa	Ao-Chungli	sa	s a
723	only	dang	Ao-Chungli	daŋ	d a ŋ
724	deer(barking)	shitsü	Ao-Chungli	ʃitsə	ʃ i t s ə
725	false(not correct)	tiazü	Ao-Chungli	tiazə	t i a z ə
726	broad	meya-meyar	Ao-Chungli	meja+mejar	m e j a + m e j a r
727	to speak	ashi	Ao-Chungli	aʃi	a ʃ i
728	trumpet	jangzü	Ao-Chungli	ɟ͡ʝaŋzə	ɟ͡ʝ a ŋ z ə
729	to open	lapok	Ao-Chungli	lapok	l a p o k
730	language	o	Ao-Chungli	o	o
731	panji(bamboo stake)		Ao-Chungli		
732	iron	merang	Ao-Chungli	meraŋ	m e r a ŋ
733	iron	in	Ao-Chungli	in	i n
734	to shoot	yok	Ao-Chungli	jok	j o k
735	wrist	tekanük	Ao-Chungli	tekanək	t e k a n ə k
736	leather	shikap	Ao-Chungli	ʃikap	ʃ i k a p
737	long	telangka	Ao-Chungli	telaŋka	t e l a ŋ k a
738	a chief	tatar	Ao-Chungli	tatar	t a t a r
739	to seize	apu	Ao-Chungli	apu	a p u
740	to seize	amet	Ao-Chungli	amet	a m e t
741	coat	sepoksü	Ao-Chungli	sepoksə	s e p o k s ə
742	to take	agi	Ao-Chungli	agi	a g i
743	to take	ang	Ao-Chungli	aŋ	a ŋ
744	mother	tetzü	Ao-Chungli	teɟ͡ʝə	t e ɟ͡ʝ ə
745	spider	sorak	Ao-Chungli	sorak	s o r a k
746	twelve	terana	Ao-Chungli	terana	t e r a n a
747	earthquake	menoknok	Ao-Chungli	menoknok	m e n o k n o k
748	a place	talidak	Ao-Chungli	talidak	t a l i d a k
749	weak	tashi-maet	Ao-Chungli	taʃi+maet	t a ʃ i + m a e t
750	to wash(pots)	shidok	Ao-Chungli	ʃidok	ʃ i d o k
751	cloud	mepet	Ao-Chungli	mepet	m e p e t
752	to extinguish	asep	Ao-Chungli	asep	a s e p
753	under	toko	Ao-Chungli	toko	t o k o
754	under	telung	Ao-Chungli	teluŋ	t e l u ŋ
755	a fly	manga	Ao-Chungli	maŋa	m a ŋ a
756	a fly	abung	Ao-Chungli	abuŋ	a b u ŋ
757	fool	yiarer	Ao-Chungli	jiarer	j i a r e r
758	mistake	taei	Ao-Chungli	taei	t a e i
759	mistake	timir	Ao-Chungli	timir	t i m i r
760	true(correct)	atangji	Ao-Chungli	ataŋɟ͡ʝi	a t a ŋ ɟ͡ʝ i
761	widower	sangremer	Ao-Chungli	saŋremer	s a ŋ r e m e r
762	lord	kibuba	Ao-Chungli	kibuba	k i b u b a
763	flute	jemji	Ao-Chungli	ɟ͡ʝemɟ͡ʝi	ɟ͡ʝ e m ɟ͡ʝ i
764	teacher	sayuba	Ao-Chungli	sajuba	s a j u b a
765	goat	nabong	Ao-Chungli	naboŋ	n a b o ŋ
766	much	aeiga	Ao-Chungli	aeiga	a e i g a
767	much	tim	Ao-Chungli	tim	t i m
768	to bind	alen	Ao-Chungli	alen	a l e n
769	to bind	arak	Ao-Chungli	arak	a r a k
770	cucumber	rungi	Ao-Chungli	ruŋi	r u ŋ i
771	dust	aoyi	Ao-Chungli	aoji	a o j i
772	caterpillar	lungben	Ao-Chungli	luŋben	l u ŋ b e n
773	raw(unripe)	tazü	Ao-Chungli	tazə	t a z ə
774	blind	tenük-tapok	Ao-Chungli	tenək+tapok	t e n ə k + t a p o k
775	blood	azü	Ao-Chungli	azə	a z ə
776	blood	zü	Ao-Chungli	zə	z ə
777	tea	küiüptzü	Ao-Chungli	kəiəpɟ͡ʝə	k ə i ə p ɟ͡ʝ ə
778	to find	angu	Ao-Chungli	aŋu	a ŋ u
779	to find	putet	Ao-Chungli	putet	p u t e t
780	to follow	anitek	Ao-Chungli	anitek	a n i t e k
781	duck	padak	Ao-Chungli	padak	p a d a k
782	to carry(generic)	aben	Ao-Chungli	aben	a b e n
783	gun	brambong	Ao-Chungli	bramboŋ	b r a m b o ŋ
784	year	küm	Ao-Chungli	kəm	k ə m
785	to look for	zangra	Ao-Chungli	zaŋra	z a ŋ r a
786	deer(generic)		Ao-Chungli		
787	to know	metet	Ao-Chungli	metet	m e t e t
788	to know	shitet	Ao-Chungli	ʃitet	ʃ i t e t
789	earring	rongnaro	Ao-Chungli	roŋnaro	r o ŋ n a r o
790	otter	shirem	Ao-Chungli	ʃirem	ʃ i r e m
791	hornet	nati	Ao-Chungli	nati	n a t i
792	deer(sambhur)	mesü	Ao-Chungli	mesə	m e s ə
793	to divide	alem	Ao-Chungli	alem	a l e m
794	Job's tears(coix)		Ao-Chungli		
795	to build	asü	Ao-Chungli	asə	a s ə
796	earth	ali	Ao-Chungli	ali	a l i
797	earth	lima	Ao-Chungli	lima	l i m a
798	but	aji	Ao-Chungli	aɟ͡ʝi	a ɟ͡ʝ i
799	but	saka	Ao-Chungli	saka	s a k a
800	yam	shi	Ao-Chungli	ʃi	ʃ i
801	baby	kinü	Ao-Chungli	kinə	k i n ə
802	never	kodang-ma	Ao-Chungli	kodaŋ+ma	k o d a ŋ + m a
803	flesh	shi	Ao-Chungli	ʃi	ʃ i
804	pipe(tobacco)	mokobo	Ao-Chungli	mokobo	m o k o b o
805	neck	tekong	Ao-Chungli	tekoŋ	t e k o ŋ
806	mist	tzüsu	Ao-Chungli	ɟ͡ʝəsu	ɟ͡ʝ ə s u
807	floor	atüm	Ao-Chungli	atəm	a t ə m
808	fence	atsü	Ao-Chungli	atsə	a t s ə
809	very	kanga	Ao-Chungli	kaŋa	k a ŋ a
810	here	yange	Ao-Chungli	jaŋe	j a ŋ e
811	here	idage	Ao-Chungli	idage	i d a g e
812	to break	atsük	Ao-Chungli	atsək	a t s ə k
813	to break	raksa	Ao-Chungli	raksa	r a k s a
814	yesterday	yashi	Ao-Chungli	jaʃi	j a ʃ i
815	you	nenok	Ao-Chungli	nenok	n e n o k
816	top(highest point)	kolak	Ao-Chungli	kolak	k o l a k
817	seven	tenet	Ao-Chungli	tenet	t e n e t
818	hole	tapok	Ao-Chungli	tapok	t a p o k
819	hole	tegi	Ao-Chungli	tegi	t e g i
820	skull	tokolakret	Ao-Chungli	tokolakret	t o k o l a k r e t
821	skull	mangko	Ao-Chungli	maŋko	m a ŋ k o
822	valley	lenten	Ao-Chungli	lenten	l e n t e n
823	orphan	lajar	Ao-Chungli	laɟ͡ʝar	l a ɟ͡ʝ a r
824	meet	azurutep	Ao-Chungli	azurutep	a z u r u t e p
825	hearth	atep	Ao-Chungli	atep	a t e p
826	vegetable	aon	Ao-Chungli	aon	a o n
827	ripe	tamen	Ao-Chungli	tamen	t a m e n
828	fire	mi	Ao-Chungli	mi	m i
829	to listen	anga-ah	Ao-Chungli	aŋa+ah	a ŋ a + a h
830	worm	mesen	Ao-Chungli	mesen	m e s e n
831	worm	lungben	Ao-Chungli	luŋben	l u ŋ b e n
832	to stink	tashinem	Ao-Chungli	taʃinem	t a ʃ i n e m
833	tree	süngdong	Ao-Chungli	səŋdoŋ	s ə ŋ d o ŋ
834	to use	benshi	Ao-Chungli	benʃi	b e n ʃ i
835	bag	juli	Ao-Chungli	ɟ͡ʝuli	ɟ͡ʝ u l i
836	chaff	pha	Ao-Chungli	pʰa	pʰ a
